run_id	resolution	steps	status	wall_time_ms	text_score	layout_score	loop_error	input_ocr_chars	mid_ocr_chars	mid_ocr_sample
20260424T013942Z-modal-ltx-s4-768x448	768x448	4	pass	927.887	0.2761	0.9994	0.0151	763	210	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram omen ») 3 Menno a Bk hy erm Lo Se] Z POE as usd ie fe emetic fr te. ‘ SS ———— |S Lenyp Connery shunt bo vesaatty et
20260424T013957Z-modal-ltx-s2-768x448	768x448	2	fail	49609.465	0.2979	0.9997	0.0114	763	166	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram “EGF geeremysheht ot wot cr nt = a 9. Lamp boweatiry stumate be vena ot
20260424T014047Z-modal-ltx-s3-768x448	768x448	3	pass	883.871	0.1705	0.9994	0.0165	763	214	Sketchapedia: Roman Colosseum Arena Floor Velariue Seating Materials Annotatad Section Diagram ne é Ss =>» 2. tetera aortas aca ane, oc Ss SZ large ANU trusted ut ho camniR let Reme sect Ss Lang Cowes sna wauaty nt
20260424T014048Z-modal-ltx-s4-768x448	768x448	4	pass	948.967	0.2761	0.9994	0.0151	763	210	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram omen ») 3 Menno a Bk hy erm Lo Se] Z POE as usd ie fe emetic fr te. ‘ SS ———— |S Lenyp Connery shunt bo vesaatty et
20260424T014049Z-modal-ltx-s6-768x448	768x448	6	pass	1085.866	0.3021	0.9998	0.0060	763	171	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram “E Wersin gear hen an ween rset ‘Tl S. Comp Cowantary stair be veruatty wont
20260424T014050Z-modal-ltx-s8-768x448	768x448	8	pass	1171.154	0.2769	0.9999	0.0030	763	168	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram “E Wrrsin geareeg nat at wa set ros S. Lonp Cowartary stumitt be vera aut
20260424T014051Z-modal-ltx-s2-896x512	896x512	2	pass	1152.909	0.0270	0.9995	0.0141	763	605	Astructured vauel rape hacwln. diagrams. and ounse text fer stabinty cOacks Arena Floor Vetorium. Tandoor, it, and service pacanges crear! sudan revents during Pulte soeRumbucatiy euring system shadud spectasrs end neque
20260424T014052Z-modal-ltx-s3-896x512	896x512	3	pass	1141.935	0.0361	0.9992	0.0195	763	646	Asstuctired vce! page with labela, dlagrains, and Ounse tex! foe stablity Coacks. Arena Floor Votarium “Tapdoor, it, and service patcnges creed suddon reveals during PUL epunfembucakie Guring system shaded spectators end
20260424T014053Z-modal-ltx-s4-896x512	896x512	4	pass	1192.674	0.0352	0.9992	0.0200	763	638	Asstuctured viecal page wiih ladela, dlagrains, and Ounse tex! foe stabllty coacks Arena Floor Votarium Trapdoor, it, and service pacanges remo’ saddon reveals dung PULTE spaembucaie Guning syxtem shaded specttsrs end re
20260424T014054Z-modal-ltx-s6-896x512	896x512	6	near_miss	1346.790	0.0989	0.9992	0.0267	763	656	Astuctured vouel page wtih ele, diagrams, and ounse ten! for stabiity checks. Arena Floor Votorium Trapdoor, ft, and service patcages croutod sation reveals during pUble speebucitie Guring syxtem shaded specttars end eeq
20260424T014056Z-modal-ltx-s8-896x512	896x512	8	near_miss	1510.436	0.0149	0.9982	0.0646	763	648	A structured vieuel paga wtih labele, dagrarns, and dense ten! for stabiity <back. Arena Floor Votorium Trapdoor, ft, and service patcangns crowed sation reveals during pULIE speembucaie Gering syxtom shaded spectators e
20260424T014057Z-modal-ltx-s2-960x544	960x544	2	pass	1265.922	0.0200	0.9993	0.0166	763	643	Astroemred visual page with Indets, diagrams, snd danse test for stability checks. Arena Floor Yelaraim Trapdoers, dite, and SINWICE PRORADES Creaied sudden fevents dung public wedteEmEctAhte awning syuaM shaded spactaln
20260424T014059Z-modal-ltx-s3-960x544	960x544	3	pass	1285.970	0.0175	0.9989	0.0228	763	473	Astructured visual pape wlth inbels, dlagrarns. and danse text for aati checks Arena Floor Yetariuum Seating Materials Sncial dor was anced ito Be snchtacurs teugh Hesud, sAperHied seating huBdtine, ti, trick, and cancre
20260424T014100Z-modal-ltx-s4-960x544	960x544	4	near_miss	1381.415	0.0177	0.9988	0.0229	763	417	Arena Floor Vetarium Seating Materials ‘Snecinl ardor nas ancedied into he schluctus Uneugh terad, sapariind seatiog busemine, tll, brick, and concrete camiad batt syucture and amament Annotated Section Diagram segs many
20260424T014101Z-modal-ltx-s6-960x544	960x544	6	near_miss	1496.173	0.0178	0.9992	0.0175	763	683	Astuctured visual pope wlth iabels, diagrams. and danse test for stability checks Arena Floor Vetarium Trapdoor, its, and seevice passages Caled sudden reveals during public wosdadmactable awning syitam shaded spactatnrs
20260424T014103Z-modal-ltx-s8-960x544	960x544	8	near_miss	1653.650	0.0216	0.9999	0.0044	763	678	Astructured visual poge with labels, dlagrares, and dense test for stabilly checks. Arena Floor Vetarium Trapdoor, it, and service passages cated sudden ravens during puble weeeeeuctable awning eystam shadud spect and re
20260424T014104Z-modal-ltx-s2-1024x576	1024x576	2	near_miss	1407.022	0.1067	0.9985	0.0229	763	578	Asthachiend Visit nage With imbels, ciaxgrams. and oanse text Scostwbifity checks Arena Floor Vetarium Tandon ite. ne oeevine ppRsSRTS-casuNR saIGtion PeMENS dkalnG NEA aeetReaRtamEt atte: ONG “iyeIOM-AMeded aeHAtorS AMA
20260424T014110Z-modal-ltx-s3-1024x576	1024x576	3	near_miss	1400.872	0.1451	0.9975	0.0330	763	190	Sketchapedia: Roman Colosseum AUStluchunaad Visual rage inti imeeist, Gihingnnnnd. dane Sane text tor stability omeces. Arena Floor Vetarium Seating Materials Annotated Section Diagram L<_ =
20260424T014111Z-modal-ltx-s4-1024x576	1024x576	4	near_miss	1500.328	0.2036	0.9972	0.0351	763	120	Sketchapedia: Roman Colosseum Arena Te Vetarium Seating Materials fateci Section Diagram ’ os SS — 2 it ce ce gr engy ya
20260424T014113Z-modal-ltx-s6-1024x576	1024x576	6	near_miss	1640.676	0.1429	0.9972	0.0333	763	62	Sketchapedia. Roman Colosseum Aron: Vetarium Seating Materials
20260424T014114Z-modal-ltx-s8-1024x576	1024x576	8	near_miss	1920.767	0.0999	0.9976	0.0279	763	52	Sketchapedia. Roman Colosseum Arens tr Seating >»):
20260424T014121Z-modal-ltx-s2-1280x736	1280x736	2	near_miss	2186.451	0.4364	0.9988	0.0196	763	95	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram
20260424T014123Z-modal-ltx-s3-1280x736	1280x736	3	near_miss	2016.639	0.3445	0.9978	0.0317	763	29	Sketchapedia: Roman Colosseum
20260424T014125Z-modal-ltx-s4-1280x736	1280x736	4	near_miss	2144.539	0.4124	0.9975	0.0348	763	89	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section T
20260424T014127Z-modal-ltx-s6-1280x736	1280x736	6	near_miss	2495.800	0.3744	0.9972	0.0369	763	385	H . Sketchapedia: Roman Colosseum A structured visual page with labels, disgrams, and dense text for stability checks. Arena Floor Velarium Trapdoors, lifts, and service 5 y T d coordinated rppe hand! Seating Materials S
20260424T014130Z-modal-ltx-s8-1280x736	1280x736	8	near_miss	2851.831	0.3029	0.9972	0.0359	763	393	H . Sketchapedia: Roman Colosseum Arena Floor Velarium Trepdoors, lifts, and service f ystem shaded specnitors ant required coordinated rape handi Seating Materiais * a Socsal ondar was encoded into the architecture thro
20260424T014133Z-modal-ltx-s2-768x448	768x448	2	pass	795.650	0.2979	0.9997	0.0114	763	166	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram “EGF geeremysheht ot wot cr nt = a 9. Lamp boweatiry stumate be vena ot
20260424T014134Z-modal-ltx-s3-768x448	768x448	3	pass	866.912	0.1705	0.9994	0.0165	763	214	Sketchapedia: Roman Colosseum Arena Floor Velariue Seating Materials Annotatad Section Diagram ne é Ss =>» 2. tetera aortas aca ane, oc Ss SZ large ANU trusted ut ho camniR let Reme sect Ss Lang Cowes sna wauaty nt
20260424T014135Z-modal-ltx-s4-768x448	768x448	4	pass	921.957	0.2761	0.9994	0.0151	763	210	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram omen ») 3 Menno a Bk hy erm Lo Se] Z POE as usd ie fe emetic fr te. ‘ SS ———— |S Lenyp Connery shunt bo vesaatty et
20260424T014136Z-modal-ltx-s6-768x448	768x448	6	pass	1011.924	0.3021	0.9998	0.0060	763	171	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram “E Wersin gear hen an ween rset ‘Tl S. Comp Cowantary stair be veruatty wont
20260424T014137Z-modal-ltx-s8-768x448	768x448	8	pass	1132.376	0.2769	0.9999	0.0030	763	168	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram “E Wrrsin geareeg nat at wa set ros S. Lonp Cowartary stumitt be vera aut
20260424T014138Z-modal-ltx-s2-896x512	896x512	2	pass	971.667	0.0270	0.9995	0.0141	763	605	Astructured vauel rape hacwln. diagrams. and ounse text fer stabinty cOacks Arena Floor Vetorium. Tandoor, it, and service pacanges crear! sudan revents during Pulte soeRumbucatiy euring system shadud spectasrs end neque
20260424T014139Z-modal-ltx-s3-896x512	896x512	3	pass	1087.649	0.0361	0.9992	0.0195	763	646	Asstuctired vce! page with labela, dlagrains, and Ounse tex! foe stablity Coacks. Arena Floor Votarium “Tapdoor, it, and service patcnges creed suddon reveals during PUL epunfembucakie Guring system shaded spectators end
20260424T014140Z-modal-ltx-s4-896x512	896x512	4	pass	1228.997	0.0352	0.9992	0.0200	763	638	Asstuctured viecal page wiih ladela, dlagrains, and Ounse tex! foe stabllty coacks Arena Floor Votarium Trapdoor, it, and service pacanges remo’ saddon reveals dung PULTE spaembucaie Guning syxtem shaded specttsrs end re
20260424T014141Z-modal-ltx-s6-896x512	896x512	6	near_miss	1337.490	0.0989	0.9992	0.0267	763	656	Astuctured vouel page wtih ele, diagrams, and ounse ten! for stabiity checks. Arena Floor Votorium Trapdoor, ft, and service patcages croutod sation reveals during pUble speebucitie Guring syxtem shaded specttars end eeq
20260424T014143Z-modal-ltx-s8-896x512	896x512	8	near_miss	1477.052	0.0149	0.9982	0.0646	763	648	A structured vieuel paga wtih labele, dagrarns, and dense ten! for stabiity <back. Arena Floor Votorium Trapdoor, ft, and service patcangns crowed sation reveals during pULIE speembucaie Gering syxtom shaded spectators e
20260424T014144Z-modal-ltx-s2-960x544	960x544	2	pass	1126.258	0.0200	0.9993	0.0166	763	643	Astroemred visual page with Indets, diagrams, snd danse test for stability checks. Arena Floor Yelaraim Trapdoers, dite, and SINWICE PRORADES Creaied sudden fevents dung public wedteEmEctAhte awning syuaM shaded spactaln
20260424T014145Z-modal-ltx-s3-960x544	960x544	3	pass	1226.380	0.0175	0.9989	0.0228	763	473	Astructured visual pape wlth inbels, dlagrarns. and danse text for aati checks Arena Floor Yetariuum Seating Materials Sncial dor was anced ito Be snchtacurs teugh Hesud, sAperHied seating huBdtine, ti, trick, and cancre
20260424T014146Z-modal-ltx-s4-960x544	960x544	4	near_miss	1332.539	0.0177	0.9988	0.0229	763	417	Arena Floor Vetarium Seating Materials ‘Snecinl ardor nas ancedied into he schluctus Uneugh terad, sapariind seatiog busemine, tll, brick, and concrete camiad batt syucture and amament Annotated Section Diagram segs many
20260424T014148Z-modal-ltx-s6-960x544	960x544	6	near_miss	1485.728	0.0178	0.9992	0.0175	763	683	Astuctured visual pope wlth iabels, diagrams. and danse test for stability checks Arena Floor Vetarium Trapdoor, its, and seevice passages Caled sudden reveals during public wosdadmactable awning syitam shaded spactatnrs
20260424T014149Z-modal-ltx-s8-960x544	960x544	8	near_miss	1638.631	0.0216	0.9999	0.0044	763	678	Astructured visual poge with labels, dlagrares, and dense test for stabilly checks. Arena Floor Vetarium Trapdoor, it, and service passages cated sudden ravens during puble weeeeeuctable awning eystam shadud spect and re
20260424T014151Z-modal-ltx-s2-1024x576	1024x576	2	near_miss	1318.803	0.1067	0.9985	0.0229	763	578	Asthachiend Visit nage With imbels, ciaxgrams. and oanse text Scostwbifity checks Arena Floor Vetarium Tandon ite. ne oeevine ppRsSRTS-casuNR saIGtion PeMENS dkalnG NEA aeetReaRtamEt atte: ONG “iyeIOM-AMeded aeHAtorS AMA
20260424T014152Z-modal-ltx-s3-1024x576	1024x576	3	near_miss	1351.807	0.1451	0.9975	0.0330	763	190	Sketchapedia: Roman Colosseum AUStluchunaad Visual rage inti imeeist, Gihingnnnnd. dane Sane text tor stability omeces. Arena Floor Vetarium Seating Materials Annotated Section Diagram L<_ =
20260424T014154Z-modal-ltx-s4-1024x576	1024x576	4	near_miss	1447.104	0.2036	0.9972	0.0351	763	120	Sketchapedia: Roman Colosseum Arena Te Vetarium Seating Materials fateci Section Diagram ’ os SS — 2 it ce ce gr engy ya
20260424T014208Z-modal-ltx-s2-seed0-768x448	768x448	2	fail	119520.018	0.2979	0.9997	0.0114	763	166	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram “EGF geeremysheht ot wot cr nt = a 9. Lamp boweatiry stumate be vena ot
20260424T014407Z-modal-ltx-s3-seed0-768x448	768x448	3	near_miss	1537.268	0.1705	0.9994	0.0165	763	214	Sketchapedia: Roman Colosseum Arena Floor Velariue Seating Materials Annotatad Section Diagram ne é Ss =>» 2. tetera aortas aca ane, oc Ss SZ large ANU trusted ut ho camniR let Reme sect Ss Lang Cowes sna wauaty nt
20260424T014409Z-modal-ltx-s4-seed0-768x448	768x448	4	near_miss	1515.884	0.2761	0.9994	0.0151	763	210	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram omen ») 3 Menno a Bk hy erm Lo Se] Z POE as usd ie fe emetic fr te. ‘ SS ———— |S Lenyp Connery shunt bo vesaatty et
20260424T014411Z-modal-ltx-s6-seed0-768x448	768x448	6	near_miss	1559.487	0.3021	0.9998	0.0060	763	171	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram “E Wersin gear hen an ween rset ‘Tl S. Comp Cowantary stair be veruatty wont
20260424T014412Z-modal-ltx-s8-seed0-768x448	768x448	8	near_miss	1554.265	0.2769	0.9999	0.0030	763	168	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram “E Wrrsin geareeg nat at wa set ros S. Lonp Cowartary stumitt be vera aut
20260424T014414Z-modal-ltx-s2-seed0-896x512	896x512	2	near_miss	1579.954	0.0270	0.9995	0.0141	763	605	Astructured vauel rape hacwln. diagrams. and ounse text fer stabinty cOacks Arena Floor Vetorium. Tandoor, it, and service pacanges crear! sudan revents during Pulte soeRumbucatiy euring system shadud spectasrs end neque
20260424T014415Z-modal-ltx-s3-seed0-896x512	896x512	3	near_miss	1573.881	0.0361	0.9992	0.0195	763	646	Asstuctired vce! page with labela, dlagrains, and Ounse tex! foe stablity Coacks. Arena Floor Votarium “Tapdoor, it, and service patcnges creed suddon reveals during PUL epunfembucakie Guring system shaded spectators end
20260424T014417Z-modal-ltx-s4-seed0-896x512	896x512	4	near_miss	1562.896	0.0352	0.9992	0.0200	763	638	Asstuctured viecal page wiih ladela, dlagrains, and Ounse tex! foe stabllty coacks Arena Floor Votarium Trapdoor, it, and service pacanges remo’ saddon reveals dung PULTE spaembucaie Guning syxtem shaded specttsrs end re
20260424T014418Z-modal-ltx-s6-seed0-896x512	896x512	6	near_miss	1704.935	0.0989	0.9992	0.0267	763	656	Astuctured vouel page wtih ele, diagrams, and ounse ten! for stabiity checks. Arena Floor Votorium Trapdoor, ft, and service patcages croutod sation reveals during pUble speebucitie Guring syxtem shaded specttars end eeq
20260424T014420Z-modal-ltx-s8-seed0-896x512	896x512	8	near_miss	1964.021	0.0149	0.9982	0.0646	763	648	A structured vieuel paga wtih labele, dagrarns, and dense ten! for stabiity <back. Arena Floor Votorium Trapdoor, ft, and service patcangns crowed sation reveals during pULIE speembucaie Gering syxtom shaded spectators e
20260424T014422Z-modal-ltx-s2-seed0-960x544	960x544	2	near_miss	1619.415	0.0200	0.9993	0.0166	763	643	Astroemred visual page with Indets, diagrams, snd danse test for stability checks. Arena Floor Yelaraim Trapdoers, dite, and SINWICE PRORADES Creaied sudden fevents dung public wedteEmEctAhte awning syuaM shaded spactaln
20260424T014424Z-modal-ltx-s3-seed0-960x544	960x544	3	near_miss	1647.729	0.0175	0.9989	0.0228	763	473	Astructured visual pape wlth inbels, dlagrarns. and danse text for aati checks Arena Floor Yetariuum Seating Materials Sncial dor was anced ito Be snchtacurs teugh Hesud, sAperHied seating huBdtine, ti, trick, and cancre
20260424T014425Z-modal-ltx-s4-seed0-960x544	960x544	4	near_miss	1681.139	0.0177	0.9988	0.0229	763	417	Arena Floor Vetarium Seating Materials ‘Snecinl ardor nas ancedied into he schluctus Uneugh terad, sapariind seatiog busemine, tll, brick, and concrete camiad batt syucture and amament Annotated Section Diagram segs many
20260424T014427Z-modal-ltx-s6-seed0-960x544	960x544	6	near_miss	1865.482	0.0178	0.9992	0.0175	763	683	Astuctured visual pope wlth iabels, diagrams. and danse test for stability checks Arena Floor Vetarium Trapdoor, its, and seevice passages Caled sudden reveals during public wosdadmactable awning syitam shaded spactatnrs
20260424T014429Z-modal-ltx-s8-seed0-960x544	960x544	8	near_miss	2076.514	0.0216	0.9999	0.0044	763	678	Astructured visual poge with labels, dlagrares, and dense test for stabilly checks. Arena Floor Vetarium Trapdoor, it, and service passages cated sudden ravens during puble weeeeeuctable awning eystam shadud spect and re
20260424T014431Z-modal-ltx-s2-seed0-1024x576	1024x576	2	near_miss	1736.111	0.1067	0.9985	0.0229	763	578	Asthachiend Visit nage With imbels, ciaxgrams. and oanse text Scostwbifity checks Arena Floor Vetarium Tandon ite. ne oeevine ppRsSRTS-casuNR saIGtion PeMENS dkalnG NEA aeetReaRtamEt atte: ONG “iyeIOM-AMeded aeHAtorS AMA
20260424T014433Z-modal-ltx-s3-seed0-1024x576	1024x576	3	near_miss	1789.187	0.1451	0.9975	0.0330	763	190	Sketchapedia: Roman Colosseum AUStluchunaad Visual rage inti imeeist, Gihingnnnnd. dane Sane text tor stability omeces. Arena Floor Vetarium Seating Materials Annotated Section Diagram L<_ =
20260424T014434Z-modal-ltx-s4-seed0-1024x576	1024x576	4	near_miss	1970.214	0.2036	0.9972	0.0351	763	120	Sketchapedia: Roman Colosseum Arena Te Vetarium Seating Materials fateci Section Diagram ’ os SS — 2 it ce ce gr engy ya
20260424T014436Z-modal-ltx-s6-seed0-1024x576	1024x576	6	near_miss	1979.965	0.1429	0.9972	0.0333	763	62	Sketchapedia. Roman Colosseum Aron: Vetarium Seating Materials
20260424T014438Z-modal-ltx-s8-seed0-1024x576	1024x576	8	near_miss	2206.265	0.0999	0.9976	0.0279	763	52	Sketchapedia. Roman Colosseum Arens tr Seating >»):
20260424T014441Z-modal-ltx-s2-seed0-1280x736	1280x736	2	near_miss	2360.615	0.4364	0.9988	0.0196	763	95	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section Diagram
20260424T014443Z-modal-ltx-s3-seed0-1280x736	1280x736	3	near_miss	2357.261	0.3445	0.9978	0.0317	763	29	Sketchapedia: Roman Colosseum
20260424T014445Z-modal-ltx-s4-seed0-1280x736	1280x736	4	near_miss	2544.720	0.4124	0.9975	0.0348	763	89	Sketchapedia: Roman Colosseum Arena Floor Velarium Seating Materials Annotated Section T
20260424T014448Z-modal-ltx-s6-seed0-1280x736	1280x736	6	near_miss	2968.627	0.3744	0.9972	0.0369	763	385	H . Sketchapedia: Roman Colosseum A structured visual page with labels, disgrams, and dense text for stability checks. Arena Floor Velarium Trapdoors, lifts, and service 5 y T d coordinated rppe hand! Seating Materials S
20260424T014451Z-modal-ltx-s8-seed0-1280x736	1280x736	8	fail	3331.718	0.3029	0.9972	0.0359	763	393	H . Sketchapedia: Roman Colosseum Arena Floor Velarium Trepdoors, lifts, and service f ystem shaded specnitors ant required coordinated rape handi Seating Materiais * a Socsal ondar was encoded into the architecture thro
20260424T014454Z-modal-ltx-s2-seed1-768x448	768x448	2	near_miss	1370.589	0.3013	0.9996	0.0123	763	181	Sketchapedia: Roman Colosseum Arena Floor Velariue Seating Matertats Annotated Section Diagram “Pattie gommtry shot om watiwer melt pepe S Lonp tenenatary chinete ne wanuatiy aieut,
20260424T014456Z-modal-ltx-s3-seed1-768x448	768x448	3	near_miss	1367.421	0.2375	0.9995	0.0166	763	147	Sketchapedia: Roman Colosseum ‘Arena Floor Velariue Seating Materiats Annotated Section Diagram Bae ees —— G Lop Cenandary ctunete te wnmatiy year.
20260424T014457Z-modal-ltx-s4-seed1-768x448	768x448	4	near_miss	1360.342	0.2761	0.9997	0.0140	763	173	Sketchapedia: Roman Colosseum Arena Fioor Velariun Seating Materials: Annotated Section Diagram “Prarie genuy sham wt walter ett ‘laa S Lomp Coundary thunete be wamaty qeut.
